"SITE,C,254","X,N,19,15","Y,N,19,15","elevation","X","Y","slope","tri","aspect","tpi","dist_fish_river","dist_konkiep_river","dist_water_points","dist_tourist_road","dist_staff_buildings"
"FR01",17.530121,-27.49456,879,749965.888429247,6956236.69975901,4.71674488794795,1.875,154.445988789553,3.76870053612458,5718.67277596261,10254.5742554776,3461.64914554996,50.2279088244132,3748.78233675429
"FR02",17.578126,-27.363091,793,755012.648902201,6970709.83192843,0.800526952856796,0.25,72.7845603615764,-18.8797549144754,8521.0430972211,18713.1623970356,4.81895385352103,7327.1873063265,15779.9838273352
"FR03",17.550079,-27.386806,825,752183.513665023,6968138.64925814,3.47593617126037,1.25,312.908722631394,-11.9573653306102,11176.9871973431,15455.3069069378,3830.44004418216,4830.48406999424,12013.2007991746
"FR04",17.544319,-27.405074,836,751572.278479453,6966125.68820601,1.39180888164197,0.5,227.091277368607,-13.7199387286188,10266.9029580201,13973.3363053625,5752.21813326158,5275.1541835756,10036.1403452765
"FR05",17.535861,-27.424035,829,750692.815995249,6964041.34802933,2.81167840788633,1,265.169768192867,-21.6254786826653,9939.80349419284,12388.2843311169,4490.53804415872,5114.27464089032,7907.59056661491
"FR06",17.530741,-27.447041,837,750134.542330498,6961501.94070503,1.39180888164196,0.5,47.0912773686037,-6.86826653050809,8972.32087538416,11283.2079296271,2556.16221603505,2518.71321953232,5880.39646147426
"FR07",17.527709,-27.464033,845,749796.42093261,6959624.8412169,8.85363736121717,3.375,268.478678160195,-14.4845545059995,7780.92281675275,10449.8123626392,2191.49946669671,622.99984936589,4831.64938527899
"FR08",17.479981,-27.475089,789,745053.58421114,6958494.69781042,3.83566963955273,1.375,291.721088714895,-14.2795506765382,11133.0208746446,5578.66001719239,9.63656689907789,11.3516214040199,94.6947418174216
"FR09",17.486501,-27.494089,839,745655.875503723,6956376.08611718,5.4228238505204,2,249.604038549059,-6.46132244064336,9800.38814743374,5954.98022732708,11.4052068202395,1787.44823886496,2120.31984043649
"FR10",17.507752,-27.501742,883,747739.005171936,6955485.63080072,1.29613669721408,1.5,280.531524922855,1.5836099055399,7557.96616118613,8130.08856579675,2262.2388075252,1883.76392702504,3956.48029617556
"FR11",17.549463,-27.462563,799,751950.385008957,6959743.78670157,3.88311726279291,1.5,100.531524922855,-28.4301761552208,6493.04712400004,12575.2615701797,26.8414675273807,2158.77814957243,6970.79865079802
"FR12",17.503985,-27.46594,812,747446.807578877,6959461.01890721,2.36808811817767,1.25,359.999999999999,-13.7508297166198,9506.06073175079,8149.75155461206,41.2651489788415,527.819171778409,2543.96512525563
"FR13",17.540282,-27.524269,974,750902.660167943,6952923.51950891,4.9670846986267,2.125,17.8869610268583,37.0043400561655,4211.70819315059,11831.2809655805,20.2738611331528,73.7880526305143,474.791869484759
"FR14",17.5999,-27.341706,758,757216.706473511,6973035.17558535,2.71749767848821,1,290.39596145094,-7.7201940260403,5573.33083939298,21417.929839873,17.6748483912563,9957.36591974341,18969.0796829603
"FR15",17.578532,-27.379514,823,755015.137358691,6968888.83458708,14.9526133742669,5.75,268.225275096611,-22.9537911667093,9509.52237343105,18315.1300783186,1818.29317697778,7377.36015904917,14413.6577091718
"FR16",17.494631,-27.568501,904,746293.298815181,6948113.00525768,32.988023809613,15.125,189.069873134469,-11.4128159305591,8640.15797051125,10616.01498109,6668.35961842086,6189.84810719583,6185.31029476739
"FR17",17.492256,-27.547173,975,746106.330164146,6950481.48086687,1.409801564081,0.625,327.158574010125,2.0186367117692,8990.24194397349,8819.25602828263,5369.14756353448,4927.30022827621,4925.34263618027
"FR18",17.481779,-27.525071,926,745120.451803545,6952951.78252983,2.48278192829007,1.25,30.8653462152051,-1.51136073525663,9951.3054318243,6589.16118673979,3476.04597698149,4902.05731377178,5477.60496593785
"FR19",17.60001,-27.35721,789,757191.745368948,6971316.62308918,5.10575152524663,2,108.90440924755,-8.49655348480985,6345.90929877084,20955.4749277823,1706.67791083774,9546.81405094842,17657.2640428156
"FR20",17.477528,-27.452443,783,744861.191397749,6961009.31690988,3.17053361011703,1.375,193.942453885273,-5.75134031146285,12511.3186281515,5982.77979225283,2526.09451731513,500.217982043181,2591.01814260906
"FR21",17.515118,-27.546342,1035,748366.619268881,6950527.909807,1.45902767322157,0.5,299.149485316157,29.161603267807,6815.42815675009,10617.134004074,3489.13058413256,3012.5784044767,3008.45155891877
"FR22",17.630084,-27.433954,538,759988.075228771,6962748.37360321,1.39180888164195,0.75,227.091277368605,-23.9553229512381,2509.36788331174,21111.8142168425,8554.38392538048,10730.5393466049,13317.7343842202
"FR23",17.618984,-27.455568,550,758839.87477353,6960376.00582045,4.83744156435554,1.625,92.8008605602448,-25.3967321930048,1010.76356907647,19443.1675058096,6888.66683061952,8985.93176581556,10799.2329512534
"FR24",17.626712,-27.471688,496,759566.157416045,6958573.22495241,1.04394649251909,0.75,47.0912773686062,-7.80086801123309,165.752855212511,19922.5704530341,7678.61302366601,9546.63819512038,10166.755248238
"FR25",17.61273,-27.485749,520,758151.116086494,6957043.97180876,3.81955637212921,1.75,352.341098427159,-9.7589992341077,1185.89025752511,18415.1238784609,6714.51164315616,7960.84759725997,8130.82383846786
"FR26",17.597802,-27.470685,573,756710.519960988,6958744.54169384,6.58326840709345,3.125,227.091277368606,-12.3576716875159,2974.08100382892,17088.8622992645,4825.42535265234,6695.79620849206,8149.87147746067
